job_title,company_name,job_type
Senior Data Analyst - Business Intelligence, Confidential -, Full Time
Data Analyst, Everlast -, Full Time
Senior Data Analyst, Shiny White Dental Center  -, Full Time
Data Analyst, Shifa Egypt -, Full Time
Fundamental Data Analyst, Mubasher -, Full Time
Professional Data Analyst, Confidential -, Full Time
Pricing Analyst, Cartlow -, Full Time
Research Analyst, Confidential -, Full Time
Senior Software Business Analyst / ERP, Our Education -, Full Time
E-Commerce Market Analyst, Dealtio -, Full Time
Senior Data Analyst - Cairo, Confidential -, Full Time
Senior Software Business Analyst / ERP, Confidential -, Full Time
Senior Data Analyst, Alarabia Group -, Full Time
Financial Analyst, Allamna Integrated Solutions -, Full Time
Business System Analyst, The Food Lab -, Full Time
